pop rep mig tem esp abund1 abund2 
400 1 0 1410 31 0 180 
400 1 0 1410 40 101 0 
400 1 0 1410 43 0 20 
400 1 0 1410 44 26 0 
400 1 0 1420 29 94 0 
400 1 0 1420 31 0 196 
400 1 0 1420 40 71 0 
400 1 0 1420 43 0 4 
400 1 0 1420 44 35 0 
400 1 0 1430 29 122 0 
400 1 0 1430 31 0 200 
400 1 0 1430 40 73 0 
400 1 0 1430 44 5 0 
400 1 0 1440 29 97 0 
400 1 0 1440 46 55 0 
400 1 0 1440 31 0 200 
400 1 0 1440 40 48 0 
400 1 0 1450 29 100 0 
400 1 0 1450 31 0 200 
400 1 0 1450 40 75 0 
400 1 0 1450 46 25 0 
400 1 0 1460 29 105 0 
400 1 0 1460 31 0 200 
400 1 0 1460 40 59 0 
400 1 0 1460 46 36 0 
400 1 0 1470 29 99 0 
400 1 0 1470 31 0 200 
400 1 0 1470 40 31 0 
400 1 0 1470 47 21 0 
400 1 0 1470 46 49 0 
400 1 0 1480 29 121 0 
400 1 0 1480 31 0 200 
400 1 0 1480 40 33 0 
400 1 0 1480 46 32 0 
400 1 0 1480 47 14 0 
400 1 0 1490 29 109 0 
400 1 0 1490 31 0 200 
400 1 0 1490 40 37 0 
400 1 0 1490 46 24 0 
400 1 0 1490 47 30 0 
400 1 0 1500 29 109 0 
400 1 0 1500 31 0 200 
400 1 0 1500 40 29 0 
400 1 0 1500 46 9 0 
400 1 0 1500 47 53 0 
400 1 0 1510 29 151 0 
400 1 0 1510 31 0 200 
400 1 0 1510 40 20 0 
400 1 0 1510 46 12 0 
400 1 0 1510 47 17 0 
400 1 0 1520 29 165 0 
400 1 0 1520 48 1 0 
400 1 0 1520 31 0 200 
400 1 0 1520 40 22 0 
400 1 0 1520 46 12 0 
400 1 0 1530 29 169 0 
400 1 0 1530 31 0 200 
400 1 0 1530 40 20 0 
400 1 0 1530 46 11 0 
400 1 0 1540 29 153 0 
400 1 0 1540 49 13 0 
400 1 0 1540 31 0 200 
400 1 0 1540 40 21 0 
400 1 0 1540 46 13 0 
400 1 0 1550 29 136 0 
400 1 0 1550 31 0 200 
400 1 0 1550 40 16 0 
400 1 0 1550 46 30 0 
400 1 0 1550 49 18 0 
400 1 0 1560 29 120 0 
400 1 0 1560 31 0 200 
400 1 0 1560 40 2 0 
400 1 0 1560 46 71 0 
400 1 0 1560 49 7 0 
400 1 0 1570 29 80 0 
400 1 0 1570 31 0 200 
400 1 0 1570 40 8 0 
400 1 0 1570 46 86 0 
400 1 0 1570 49 26 0 
400 1 0 1580 29 37 0 
400 1 0 1580 31 0 200 
400 1 0 1580 40 21 0 
400 1 0 1580 46 135 0 
400 1 0 1580 49 7 0 
400 1 0 1590 29 45 0 
400 1 0 1590 31 0 200 
400 1 0 1590 40 35 0 
400 1 0 1590 46 120 0 
400 1 0.00808333 1600 29 49 0 
400 1 0.00808333 1600 31 2 198 
400 1 0.00808333 1600 40 23 0 
400 1 0.00808333 1600 46 122 2 
400 1 0.00808333 1600 50 4 0 
400 1 0.00808333 1610 29 50 0 
400 1 0.00808333 1610 51 4 0 
400 1 0.00808333 1610 52 8 0 
400 1 0.00808333 1610 31 0 191 
400 1 0.00808333 1610 46 138 2 
400 1 0.00808333 1610 53 0 7 
400 1 0.00808333 1620 29 82 0 
400 1 0.00808333 1620 31 2 196 
400 1 0.00808333 1620 54 54 0 
400 1 0.00808333 1620 46 59 0 
400 1 0.00808333 1620 51 3 0 
400 1 0.00808333 1620 53 0 4 
400 1 0.00808333 1630 29 73 0 
400 1 0.00808333 1630 31 0 192 
400 1 0.00808333 1630 46 28 0 
400 1 0.00808333 1630 54 99 8 
400 1 0.00808333 1640 29 94 0 
400 1 0.00808333 1640 31 1 200 
400 1 0.00808333 1640 46 4 0 
400 1 0.00808333 1640 54 101 0 
400 1 0.00808333 1650 29 90 0 
400 1 0.00808333 1650 31 9 200 
400 1 0.00808333 1650 54 99 0 
400 1 0.00808333 1650 55 2 0 
400 1 0.00808333 1660 29 51 0 
400 1 0.00808333 1660 56 9 0 
400 1 0.00808333 1660 31 19 200 
400 1 0.00808333 1660 54 73 0 
400 1 0.00808333 1660 57 35 0 
400 1 0.00808333 1660 58 7 0 
400 1 0.00808333 1660 59 6 0 
400 1 0.00808333 1670 29 43 0 
400 1 0.00808333 1670 60 61 3 
400 1 0.00808333 1670 31 13 197 
400 1 0.00808333 1670 54 50 0 
400 1 0.00808333 1670 56 4 0 
400 1 0.00808333 1670 57 29 0 
400 1 0 1680 29 51 0 
400 1 0 1680 61 20 0 
400 1 0 1680 62 1 0 
400 1 0 1680 31 0 193 
400 1 0 1680 54 31 0 
400 1 0 1680 57 21 0 
400 1 0 1680 60 76 7 
400 1 0 1690 29 56 0 
400 1 0 1690 31 0 200 
400 1 0 1690 54 23 0 
400 1 0 1690 57 18 0 
400 1 0 1690 60 89 0 
400 1 0 1690 61 14 0 
400 1 0 1700 29 37 0 
400 1 0 1700 63 0 5 
400 1 0 1700 31 0 195 
400 1 0 1700 54 15 0 
400 1 0 1700 57 31 0 
400 1 0 1700 60 117 0 
400 1 0 1710 29 31 0 
400 1 0 1710 31 0 200 
400 1 0 1710 54 1 0 
400 1 0 1710 57 60 0 
400 1 0 1710 60 107 0 
400 1 0 1710 64 1 0 
400 1 0 1720 29 43 0 
400 1 0 1720 31 0 200 
400 1 0 1720 57 62 0 
400 1 0 1720 60 95 0 
400 1 0 1730 29 40 0 
400 1 0 1730 65 1 0 
400 1 0 1730 31 0 200 
400 1 0 1730 57 97 0 
400 1 0 1730 60 62 0 
400 1 0 1740 29 42 0 
400 1 0 1740 31 0 200 
400 1 0 1740 57 80 0 
400 1 0 1740 60 78 0 
400 1 0 1750 29 31 0 
400 1 0 1750 31 0 200 
400 1 0 1750 57 91 0 
400 1 0 1750 60 78 0 
400 1 0 1760 29 44 0 
400 1 0 1760 31 0 200 
400 1 0 1760 57 97 0 
400 1 0 1760 60 59 0 
400 1 0 1770 29 34 0 
400 1 0 1770 31 0 200 
400 1 0 1770 57 106 0 
400 1 0 1770 60 60 0 
400 1 0 1780 29 21 0 
400 1 0 1780 31 0 200 
400 1 0 1780 57 168 0 
400 1 0 1780 60 11 0 
400 1 0 1790 29 30 0 
400 1 0 1790 31 0 200 
400 1 0 1790 57 162 0 
400 1 0 1790 60 8 0 
400 1 0 1800 29 22 0 
400 1 0 1800 31 0 200 
400 1 0 1800 57 173 0 
400 1 0 1800 60 5 0 
400 1 0 1810 29 13 0 
400 1 0 1810 31 0 200 
400 1 0 1810 57 187 0 
